bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,lat,long,sqft_living15,sqft_lot15,l1area,l2area,l3area,yearsstand,yearsrenovated
3,1.75,1300,7770,1,0,0,3,7,1300,0,47.7347,-122.192,1520,7600,9070,9120,1300,47,47
3,2.5,2320,4721,2,0,0,3,8,2320,0,47.591,-122.017,2250,4356,7041,6606,2320,11,11
4,2.5,2230,5500,2,0,0,3,7,2230,0,47.3533,-122.023,1910,5500,7730,7410,2230,16,16
3,1.75,1330,12618,1,0,3,3,7,1330,0,47.4403,-122.271,1870,8429,13948,10299,1330,32,32
3,2.25,1340,873,3,0,0,3,8,1340,0,47.7325,-122.343,1340,1186,2213,2526,1340,6,6
5,1.75,1380,7620,1,0,0,3,7,1180,200,47.5279,-122.345,1990,7620,9000,9610,1380,60,60
3,1.5,1890,9000,1,0,0,3,7,1190,700,47.4425,-122.272,2060,9000,10890,11060,1890,55,55
3,2,1850,9550,1,0,0,3,8,1850,0,47.3225,-122.273,2250,9550,11400,11800,1850,26,26
3,1.75,1780,5850,1,0,0,5,7,980,800,47.5589,-122.392,1550,5850,7630,7400,1780,71,71
1,1,530,6350,1,0,0,5,5,530,0,47.6946,-122.357,1200,6350,6880,7550,530,73,73
2,1,910,7617,1,0,0,3,6,910,0,47.7332,-122.305,1310,6624,8527,7934,910,78,78
3,1.75,1460,9261,1,0,0,3,7,1460,0,47.5155,-122.189,1550,8800,10721,10350,1460,29,29
3,2.5,2120,7401,2,0,0,3,8,2120,0,47.5781,-122.018,2010,7972,9521,9982,2120,26,26
3,1.5,1780,5000,1,0,4,4,7,1030,750,47.5168,-122.256,1780,7500,6780,9280,1780,56,56
3,2.5,1510,10384,1,0,0,2,7,1030,480,47.758,-122.071,1490,10000,11894,11490,1510,38,38
3,1.75,1950,10633,1,0,0,3,7,1250,700,47.7019,-122.313,1290,6380,12583,7670,1950,37,37
1,1,710,6000,1,0,0,3,6,710,0,47.5756,-122.316,1440,4800,6710,6240,710,-1,-1
3,1,1310,7125,1,0,0,4,7,1310,0,47.3739,-122.148,1650,7290,8435,8940,1310,37,37
3,1.75,2320,6400,1,0,2,4,8,1420,900,47.6449,-122.389,2540,7680,8720,10220,2320,57,57
3,3.25,3240,8338,2,0,0,3,9,3240,0,47.6321,-122.064,3420,8405,11578,11825,3240,13,13
4,1.75,3130,18253,2,0,0,3,7,3130,0,47.7402,-122.348,1850,12220,21383,14070,3130,37,37
3,2.5,1590,3121,2,0,0,3,7,1590,0,47.5515,-122.284,1090,4900,4711,5990,1590,20,20
3,1.75,1870,9897,1,0,0,4,8,1870,0,47.5505,-122.221,1900,10005,11767,11905,1870,54,54
4,4.5,2690,7350,1,0,0,5,7,2690,0,47.7062,-122.311,1660,9000,10040,10660,2690,65,65
2,1,850,6174,1,0,0,4,7,850,0,47.7352,-122.328,1100,6174,7024,7274,850,64,64
3,2.5,1740,4948,2,0,0,3,7,1740,0,47.6966,-122.025,1290,3383,6688,4673,1740,6,6
2,1.75,1530,3503,1,0,1,4,7,830,700,47.6368,-122.371,1280,1531,5033,2811,1530,98,98
2,1,960,5508,1,0,0,3,6,770,190,47.5307,-122.277,1280,5304,6468,6584,960,63,63
4,3,2150,64694,1,0,0,3,8,1450,700,47.3268,-122.388,2430,59612,66844,62042,2150,45,45
4,2.25,2420,15482,2,0,0,4,8,2420,0,47.5907,-122.196,2870,13905,17902,16775,2420,89,17
3,1.75,1840,19501,1,0,0,4,8,1270,570,47.3364,-122.318,1910,12000,21341,13910,1840,43,43
4,4.25,5584,68257,2,0,0,3,11,5584,0,47.6113,-121.952,5030,101901,73841,106931,5584,16,16
3,1.75,1899,11325,2,0,0,3,7,1899,0,47.3987,-122.3,2000,10454,13224,12454,1899,71,9
3,1.75,2110,11250,1,0,0,4,8,2110,0,47.5402,-122.216,2560,10992,13360,13552,2110,53,53
5,2.25,3550,7992,2,0,0,3,8,3550,0,47.7285,-122.179,2110,7992,11542,10102,3550,46,46
4,3,2120,5520,1,0,0,3,8,1420,700,47.7085,-122.286,2020,8700,7640,10720,2120,29,29
4,1.75,1880,9880,1,0,0,4,8,1880,0,47.4551,-122.151,1880,9600,11760,11480,1880,47,47
4,1.75,1970,9389,1,0,0,5,7,1140,830,47.7771,-122.339,1820,8135,11359,9955,1970,54,54
6,2.5,1880,14350,1,0,0,5,7,1640,240,47.7556,-122.352,1510,9840,16230,11350,1880,60,60
4,2,2240,11040,1,0,0,5,8,1120,1120,47.693,-122.168,1790,11040,13280,12830,2240,53,53
4,1,1750,68841,1,0,0,3,7,1750,0,47.4442,-122.081,1550,32799,70591,34349,1750,72,72
3,1.5,1140,4800,1,0,0,3,7,1140,0,47.6368,-122.354,1260,4800,5940,6060,1140,100,100
4,2.5,1920,8562,2,0,2,4,7,1920,0,47.1932,-122.008,1820,8628,10482,10448,1920,20,20
4,2.5,3470,6651,2,0,0,3,9,3470,0,47.5426,-121.879,2730,6179,10121,8909,3470,9,9
3,1,1540,7740,1,0,0,4,7,1540,0,47.522,-122.375,1220,7740,9280,8960,1540,105,105
3,2.5,3520,237402,2,0,0,3,9,3520,0,47.2687,-122.056,2310,165963,240922,168273,3520,10,10
5,2.75,2040,7488,1,0,0,4,7,1200,840,47.7289,-122.172,1530,7488,9528,9018,2040,45,45
2,1,780,6380,1,0,0,3,6,780,0,47.5423,-122.351,1270,6960,7160,8230,780,68,68
3,2.5,1830,65340,1,0,0,3,8,1520,310,47.4553,-121.75,2100,84942,67170,87042,1830,23,23
3,1,1020,5500,1,0,0,3,7,1020,0,47.5502,-122.286,1160,5500,6520,6660,1020,54,54
4,2,2240,9240,1,0,0,3,7,1120,1120,47.3666,-122.288,2040,8250,11480,10290,2240,47,47
3,1.75,1600,7500,1,0,0,3,7,1600,0,47.2831,-122.199,1620,7461,9100,9081,1600,17,17
3,2.5,1760,1755,3,0,0,3,8,1760,0,47.6688,-122.279,1700,1721,3515,3421,1760,17,17
4,2.5,2490,40608,2,0,0,3,9,2490,0,47.6507,-122.004,3170,45441,43098,48611,2490,17,17
3,1.5,1770,17208,1,0,0,3,8,1160,610,47.5659,-122.117,2450,17118,18978,19568,1770,55,55
3,2.5,2200,9696,2,0,0,3,8,2200,0,47.4197,-122.205,2200,9915,11896,12115,2200,27,27
4,2.5,2770,10051,2,0,0,3,10,2770,0,47.6288,-122.043,2730,10675,12821,13405,2770,27,27
5,3,2400,10126,2,0,3,3,8,2400,0,47.5726,-122.373,2250,3946,12526,6196,2400,34,34
2,2,1180,2521,2,0,0,3,6,1180,0,47.3487,-122.021,1310,3003,3701,4313,1180,10,10
4,2.5,3160,8530,2,0,0,3,9,3160,0,47.5075,-122.148,3160,6460,11690,9620,3160,9,9
3,1,970,12300,1,0,0,3,7,970,0,47.7335,-122.227,2040,9994,13270,12034,970,32,32
3,3.5,3310,5558,2,0,0,3,9,3310,0,47.5553,-122.003,3310,5270,8868,8580,3310,10,10
4,2,2350,9329,2,0,0,3,8,2350,0,47.583,-122.17,1640,9403,11679,11043,2350,37,37
5,4,3460,5400,2,0,0,3,10,2830,630,47.5201,-122.204,1890,5400,8860,7290,3460,3,3
4,3.5,3100,5600,2,0,0,3,9,3100,0,47.5968,-121.978,3080,5600,8700,8680,3100,10,10
3,1,1030,6600,1,0,0,3,7,1030,0,47.4941,-122.34,1220,9040,7630,10260,1030,60,60
4,2.25,2130,8734,2,0,2,4,8,2130,0,47.5672,-122.161,2550,8800,10864,11350,2130,53,53
3,2,1550,34175,1,0,0,3,7,1550,0,47.4855,-121.698,2300,35174,35725,37474,1550,15,15
2,1.75,1310,3816,1,0,0,2,7,1110,200,47.679,-122.368,1510,3816,5126,5326,1310,86,86
4,2.25,2280,8550,1,0,0,3,8,1660,620,47.701,-122.231,2590,9500,10830,12090,2280,37,37
4,2.5,2740,9599,1,0,2,3,8,1820,920,47.7728,-122.385,2660,8280,12339,10940,2740,54,54
4,2.5,2320,3974,2,0,0,3,7,2320,0,47.532,-121.88,2620,4539,6294,7159,2320,16,16
5,2.5,3050,13212,1,0,0,4,8,1590,1460,47.5596,-122.142,2550,10826,16262,13376,3050,40,40
4,1.75,1830,6000,1,0,0,4,7,930,900,47.6536,-122.41,1540,6000,7830,7540,1830,75,75
2,1,1270,43560,1,0,0,4,5,1270,0,47.3651,-122.165,1870,6960,44830,8830,1270,107,107
5,3.5,3250,4800,2,0,0,3,9,2410,840,47.5618,-122.362,1330,4920,8050,6250,3250,5,5
4,1.75,1550,6000,1,0,0,5,7,1550,0,47.6567,-122.399,1550,6000,7550,7550,1550,71,71
4,1.75,2140,49658,1,0,0,5,7,2140,0,47.3583,-121.922,1720,99316,51798,101036,2140,55,55
3,1.75,1340,9975,1,0,0,4,7,1340,0,47.7012,-122.169,1340,10050,11315,11390,1340,53,53
3,1.75,1360,16000,1,0,0,3,7,1360,0,47.7583,-122.306,1360,12939,17360,14299,1360,36,36
4,2.75,3010,7427,2,0,0,3,8,3010,0,47.7068,-122.112,3000,4929,10437,7929,3010,5,5
3,1.5,1400,9750,1,0,0,4,6,1400,0,47.3768,-122.17,1160,9750,11150,10910,1400,51,51
3,2,1870,8442,1,0,0,5,7,1060,810,47.6964,-122.365,1640,6174,10312,7814,1870,87,87
4,3,3110,4408,2,0,3,4,10,2510,600,47.6583,-122.27,3250,5669,7518,8919,3110,83,83
4,2.25,2720,8712,2,0,0,4,9,2720,0,47.5616,-122.153,2470,8714,11432,11184,2720,38,38
4,2.5,3120,7448,2,0,0,3,9,3120,0,47.3645,-122.126,2980,8102,10568,11082,3120,17,17
4,2.5,3310,4839,2,0,0,3,9,3310,0,47.773,-122.161,3240,5280,8149,8520,3310,8,8
4,3,2430,7242,2,0,0,3,8,2430,0,47.3533,-122.015,2430,7242,9672,9672,2430,12,12
5,1.75,2330,3800,1,0,0,3,7,1360,970,47.6835,-122.308,2100,3800,6130,5900,2330,88,88
4,1.75,1860,9112,1,0,0,4,7,1110,750,47.3792,-122.282,1570,9112,10972,10682,1860,52,52
3,2.25,1430,2343,2,0,0,3,8,1430,0,47.5648,-122.294,1270,1916,3773,3186,1430,3,3
4,1.75,1980,10800,1,0,0,4,8,1320,660,47.5899,-122.173,2310,10800,12780,13110,1980,62,62
4,2.75,2710,45963,2,0,0,3,9,2710,0,47.4745,-121.724,2710,33955,48673,36665,2710,19,19
5,2.75,2670,4000,2,0,0,4,7,1800,870,47.6711,-122.315,2460,4000,6670,6460,2670,101,101
3,2.5,1930,1348,2,0,0,3,8,1300,630,47.6513,-122.384,1630,6000,3278,7630,1930,9,9
4,2.25,2360,7490,2,0,0,3,8,2360,0,47.6988,-122.169,2360,7490,9850,9850,2360,36,36
3,2.5,1580,12250,2,0,0,3,8,1580,0,47.3771,-122.315,1560,9900,13830,11460,1580,21,21
3,2.25,1620,6000,1,0,0,3,7,1280,340,47.2835,-122.2,1710,6318,7620,8028,1620,17,17
4,2.25,2390,12292,1,0,0,5,9,2390,0,47.5528,-122.221,2870,12337,14682,15207,2390,53,53
3,3.25,1710,1960,2,0,0,3,8,1360,350,47.5479,-122.003,1420,955,3670,2375,1710,10,10
3,1,1320,9239,1,0,0,4,7,1320,0,47.312,-122.183,1320,8415,10559,9735,1320,47,47
3,1.5,1480,2700,1,0,0,3,7,1480,0,47.623,-122.304,1970,4200,4180,6170,1480,87,87
2,1,700,4000,1,0,0,3,6,700,0,47.5487,-122.391,1060,6000,4700,7060,700,71,71
2,1.5,1480,7276,1,0,0,4,6,940,540,47.4942,-122.166,1090,6710,8756,7800,1480,36,36
2,1,720,4920,1,0,0,3,6,720,0,47.5352,-122.371,670,4920,5640,5590,720,73,73
3,2.5,2670,12806,2,0,0,3,9,2670,0,47.3686,-122.059,3010,7231,15476,10241,2670,5,5
2,1.5,1008,26487,1,1,4,4,6,1008,0,47.3853,-122.479,1132,24079,27495,25211,1008,72,13
3,2.5,2030,5100,2,0,0,3,7,2030,0,47.6594,-122.397,1790,4380,7130,6170,2030,6,6
4,2.5,1890,7200,1,0,0,4,7,1500,390,47.7278,-122.218,2070,7200,9090,9270,1890,36,36
2,2.5,1770,4950,1,0,0,3,7,1770,0,47.3497,-122.025,1770,4500,6720,6270,1770,11,11
3,2,2660,16677,1,0,0,3,9,2210,450,47.3689,-122.055,2660,11355,19337,14015,2660,25,25
3,1.5,2200,5000,1,0,0,3,9,2200,0,47.6404,-122.408,2860,5000,7200,7860,2200,82,82
4,1.75,1540,7200,1,0,0,3,7,1260,280,47.3424,-122.308,1540,8416,8740,9956,1540,48,48
4,2.5,2070,6175,2,0,0,3,8,2070,0,47.3262,-122.174,1940,6175,8245,8115,2070,21,21
4,1.75,1880,4080,1,0,0,3,7,940,940,47.6754,-122.327,1410,4080,5960,5490,1880,91,91
4,2.5,2240,7245,1,0,0,4,7,1140,1100,47.7161,-122.17,1740,7350,9485,9090,2240,42,42
4,3.25,4270,6384,2,0,0,3,9,3060,1210,47.5362,-121.874,2850,6285,10654,9135,4270,14,14
3,2.25,2900,35273,2,0,0,3,9,2900,0,47.4013,-122.03,2510,38487,38173,40997,2900,28,28
3,2,2010,12950,1,0,0,3,8,2010,0,47.7222,-122.229,1490,10181,14960,11671,2010,61,61
4,5,4550,18641,1,1,4,3,10,2600,1950,47.6053,-122.077,4550,19508,23191,24058,4550,12,12
5,4.5,6070,14731,2,0,0,3,11,6070,0,47.5306,-122.134,4750,13404,20801,18154,6070,10,10
2,1,910,9000,1,0,0,3,5,910,0,47.526,-121.81,1290,9000,9910,10290,910,92,92
2,1,840,6654,1,0,0,3,7,840,0,47.7319,-122.335,1350,5831,7494,7181,840,63,63
5,2.5,2130,7111,1,0,0,3,7,1330,800,47.5071,-122.16,1840,7592,9241,9432,2130,46,46
5,3.25,3420,5669,2,0,0,3,9,2620,800,47.5366,-122.067,3310,6006,9089,9316,3420,11,11
4,2,2050,4400,1,0,0,4,9,2050,0,47.644,-122.319,2320,5500,6450,7820,2050,92,92
6,3,2630,8800,1,0,0,3,7,1610,1020,47.7166,-122.293,1220,1173,11430,2393,2630,55,55
3,1,1430,10005,1,0,0,4,7,1430,0,47.7181,-122.338,1720,8822,11435,10542,1430,64,64
4,1,1720,4410,1,0,2,3,7,1720,0,47.6791,-122.402,2140,4500,6130,6640,1720,87,87
3,1,1040,8075,1,0,0,4,7,1040,0,47.6701,-122.176,1450,8075,9115,9525,1040,53,53
4,2.5,3340,10422,2,0,0,3,10,3340,0,47.6515,-122.197,1770,9490,13762,11260,3340,18,18
3,2.25,1410,1287,2,0,0,3,7,1290,120,47.5344,-122.068,1490,1435,2697,2925,1410,9,9
2,2,1110,1095,3,0,0,3,7,980,130,47.5494,-122.388,1110,1083,2205,2193,1110,7,7
3,1,1260,6000,1,0,3,3,7,1260,0,47.5058,-122.384,2020,6600,7260,8620,1260,64,64
4,2.75,2050,3960,1,0,0,4,7,1180,870,47.5808,-122.394,1440,5040,6010,6480,2050,28,28
5,2.75,2730,6401,2,0,0,3,8,2730,0,47.7685,-122.16,2520,6126,9131,8646,2730,-1,-1
3,1.75,1290,7205,1,0,0,3,7,1290,0,47.7329,-122.237,1340,7214,8495,8554,1290,43,43
3,1.5,1490,10132,1,0,0,4,6,1490,0,47.4779,-122.145,1720,9915,11622,11635,1490,46,46
3,1,1180,11862,1,0,0,4,7,1180,0,47.7153,-122.363,1540,8100,13042,9640,1180,66,66
4,2.5,1910,5000,2,0,0,3,7,1910,0,47.3608,-122.036,2020,5000,6910,7020,1910,9,9
3,1.5,1330,7125,2,0,0,3,7,1330,0,47.7308,-122.194,1570,7350,8455,8920,1330,47,47
4,3.75,4150,17424,1,0,0,3,9,3130,1020,47.639,-122.236,3930,21420,21574,25350,4150,52,15
3,1,1220,7695,1,0,0,3,7,1220,0,47.5191,-122.339,1210,7412,8915,8622,1220,61,61
3,1.5,2440,5750,1,0,0,3,8,1320,1120,47.6991,-122.296,2160,6820,8190,8980,2440,76,76
